source,optimized,kind,source_bytes,optimized_bytes,source_mb,optimized_mb,source_width,source_height,optimized_width,optimized_height
"about/03 ChatGPT Image 29 апр. 2026 г., 00_05_25.png","optimized/about/03 ChatGPT Image 29 апр. 2026 г., 00_05_25.webp",gallery,1919716,45740,1.83,0.04,1023,1537,1023,1537
about/PDP_1181.jpg,optimized/about/PDP_1181.webp,gallery,3299006,52398,3.15,0.05,2339,3508,1400,2100
atmosphere/011_16-08-15_05-04-26_Plotonov.jpg,optimized/atmosphere/011_16-08-15_05-04-26_Plotonov.webp,gallery,10111793,149916,9.64,0.14,5000,3333,1400,933
atmosphere/1 (190).jpg,optimized/atmosphere/1 (190).webp,gallery,9077458,55666,8.66,0.05,6000,4000,1400,933
atmosphere/499A5764.jpg,optimized/atmosphere/499A5764.webp,gallery,13562895,200890,12.93,0.19,3345,5017,1400,2100
atmosphere/DSC_2087.jpg,optimized/atmosphere/DSC_2087.webp,gallery,3578385,92294,3.41,0.09,6048,4024,1400,931
atmosphere/DSC_2094.jpg,optimized/atmosphere/DSC_2094.webp,gallery,3473248,91570,3.31,0.09,6048,4024,1400,931
atmosphere/DSC_2181.jpg,optimized/atmosphere/DSC_2181.webp,gallery,3301815,80170,3.15,0.08,6048,4024,1400,931
atmosphere/IMG_0526.jpg,optimized/atmosphere/IMG_0526.webp,gallery,4719468,96162,4.5,0.09,6240,4160,1400,933
corporate/9W2A8348.jpg,optimized/corporate/9W2A8348.webp,gallery,20239576,111136,19.3,0.11,6329,4219,1400,933
corporate/DSCF3690_resized.jpg,optimized/corporate/DSCF3690_resized.webp,gallery,661657,83868,0.63,0.08,2560,1707,1400,934
corporate/IMG_4979 копия 2.jpg,optimized/corporate/IMG_4979 копия 2.webp,gallery,14592207,128098,13.92,0.12,5883,3922,1400,933
corporate/IMG_5465 копия 2.jpg,optimized/corporate/IMG_5465 копия 2.webp,gallery,15481487,79456,14.76,0.08,5879,3919,1400,933
"hero/01 ChatGPT Image 28 апр. 2026 г., 23_54_11.jpg","optimized/hero/01 ChatGPT Image 28 апр. 2026 г., 23_54_11.webp",hero,536161,20852,0.51,0.02,1024,1536,1024,1536
"hero/ChatGPT Image 29 апр. 2026 г., 00_25_56.png","optimized/hero/ChatGPT Image 29 апр. 2026 г., 00_25_56.webp",hero,1791897,36494,1.71,0.03,1672,941,1672,941
"music/ChatGPT Image 29 апр. 2026 г., 00_25_56.png","optimized/music/ChatGPT Image 29 апр. 2026 г., 00_25_56.webp",gallery,1791897,28766,1.71,0.03,1672,941,1400,788
music/lRTT.jpg,optimized/music/lRTT.webp,gallery,2653901,83066,2.53,0.08,2560,1707,1400,934
music/photo-513.jpg,optimized/music/photo-513.webp,gallery,6392492,224634,6.1,0.21,2543,3822,1400,2104
music/photo-523.jpg,optimized/music/photo-523.webp,gallery,8380397,28246,7.99,0.03,5996,3373,1400,788
music/photo-524.jpg,optimized/music/photo-524.webp,gallery,15502747,69618,14.78,0.07,5816,3272,1400,788
music/rCGeIVqq-V0.jpg,optimized/music/rCGeIVqq-V0.webp,gallery,674625,124926,0.64,0.12,1500,1000,1400,933
weddings/1 (151).jpg,optimized/weddings/1 (151).webp,gallery,9261438,51262,8.83,0.05,6000,4000,1400,933
weddings/photo-231.jpg,optimized/weddings/photo-231.webp,gallery,14619584,62990,13.94,0.06,5546,3702,1400,935
weddings/photo-278.jpg,optimized/weddings/photo-278.webp,gallery,13342740,85814,12.72,0.08,5641,3766,1400,935
weddings/photo-481.jpg,optimized/weddings/photo-481.webp,gallery,10064627,83636,9.6,0.08,5509,3099,1400,788
reviews/avatars/2fCLNYzoL5A.jpg,optimized/reviews/avatars/2fCLNYzoL5A.webp,avatar,2643382,22096,2.52,0.02,1706,2560,300,450
reviews/avatars/4O0FKWNzyrY.jpg,optimized/reviews/avatars/4O0FKWNzyrY.webp,avatar,816533,11106,0.78,0.01,1707,2560,300,450
reviews/avatars/6plt3_3j5wA.jpg,optimized/reviews/avatars/6plt3_3j5wA.webp,avatar,1231559,8730,1.17,0.01,1823,2560,300,421
reviews/avatars/IMG_20260501_224400_450.jpg,optimized/reviews/avatars/IMG_20260501_224400_450.webp,avatar,100684,11500,0.1,0.01,640,640,300,300
reviews/avatars/nwIebamSfK4.jpg,optimized/reviews/avatars/nwIebamSfK4.webp,avatar,2556637,5836,2.44,0.01,1707,2560,300,450
reviews/avatars/rR_t2GqmBGk.jpg,optimized/reviews/avatars/rR_t2GqmBGk.webp,avatar,1251475,5720,1.19,0.01,1793,2560,300,428
reviews/proofs/01.png,optimized/reviews/proofs/01.webp,proof,187088,46230,0.18,0.04,805,485,805,485
reviews/proofs/02.png,optimized/reviews/proofs/02.webp,proof,168020,45822,0.16,0.04,771,431,771,431
reviews/proofs/03.png,optimized/reviews/proofs/03.webp,proof,361853,48460,0.35,0.05,504,929,504,929
reviews/proofs/04.png,optimized/reviews/proofs/04.webp,proof,182653,21496,0.17,0.02,632,455,632,455
reviews/proofs/05.png,optimized/reviews/proofs/05.webp,proof,451965,40184,0.43,0.04,662,629,662,629
reviews/proofs/06.png,optimized/reviews/proofs/06.webp,proof,487456,38652,0.46,0.04,700,661,700,661
reviews/proofs/07.png,optimized/reviews/proofs/07.webp,proof,459091,27838,0.44,0.03,614,605,614,605
reviews/proofs/08.jpg,optimized/reviews/proofs/08.webp,proof,86680,29958,0.08,0.03,1260,500,1000,397
reviews/proofs/09.png,optimized/reviews/proofs/09.webp,proof,285108,19642,0.27,0.02,634,364,634,364
